StockCode,StockName,MonthlyReturn,MonthlyTurnoverRate,MonthlyTradingAmount,MonthlyTradingVolume,ATR,ADTM,VMA,AssetTurnover,NetProfit,R&D,BBIBOLL,MACD,OperatingProfitRatio,TotalRevenue,AnnualVolatility,Beta24M,Beta100W,ROA,GrossProfit,CashFlowPerShare,EPS,ROC,MASS,BBI,PB,PE,PEG,VR,PSY,WVAD,rank10,rank2,rank10_next,rank2_next,MonthlyReturn_next
600026.SH,中远海能,6.6568047337278,2.1329427051522,6471191611.0,478061467.0,0.75,0.49833748960931,29709575.01,0.32873152,4531412380.85,32781545.88,13.699166666667,0.13919240077665,100.02478294105,22795021518.67,59.425504304432,0.40487098602253,1.2095657194446,10.88624073361,7357644851.51,0.23796021432063,0.94982703142389,32.536764705882,25.302317782509,13.699166666667,1.9733897338003,47.205906864662,0.36511458843942,121.42842304534,44.0,237348392.38725,8,1,1,0,-8.5991678224688
600027.SH,华电国际,-4.6601941747573,1.9493535410745,5372577463.0,1097319771.0,0.17,0.023853211009174,80427229.94,0.53734432,2261280000.0,,4.9160416666667,-0.11001911310268,92.777236633869,118133132000.0,50.583295756007,0.74045067646909,1.2144343637563,3.2960175164872,4877036000.0,-0.033036028394864,0.22109669847915,-29.756795422031,23.791584712778,4.9160416666667,1.2638057791725,503.12415628568,4.9320988804818,81.910919350987,38.0,-611319520.8226,3,0,8,1,4.2769857433809
600028.SH,中国石化,-10.04942339374,0.92237864947459,13026991366.0,2280453573.0,0.14,0.23126338329764,117520752.42,1.61297417,62023000000.0,13569000000.0,5.6236458333333,-0.17003460790204,102.4069239685,3334787000000.0,21.112997600899,0.5518284244713,0.54396104159953,4.9008004567185,496130000000.0,0.015601050972911,0.51744598101224,-15.870570107858,25.518259926456,5.6236458333333,0.81910605574447,9.8708320905427,-1.432699167353,86.072790609247,46.0,-947239892.83016,1,0,6,1,0.18315018315018
600029.SH,南方航空,0.98039215686274,0.80516157435678,3293728320.0,557425264.0,0.12,0.40845070422535,42449929.27,0.44282502,-13775000000.0,498000000.0,5.9789583333333,-0.067595095898447,,136389000000.0,30.012460765488,0.86789142977796,0.86734813918739,-1.4879115352334,4387000000.0,-0.038353490036695,-0.76017169101507,6.7357512953368,24.700441843136,5.9789583333333,2.6465756264499,-3.4265712029998,,147.09225695652,52.0,120486937.10052,7,1,5,1,-0.48543689320387
600030.SH,中信证券,0.23084025854109,0.70806397811922,23638941139.0,1091406736.0,0.36,0.59111514052584,107663627.83,0.04446295,21163823682.62,,21.74375,-0.12922496386901,100.18841288462,61093746512.49,25.208192189003,1.2617562097354,1.3027485862997,,,-4.4819142521695,1.4280055875676,8.0099502487562,25.248902940439,21.74375,1.2937610184523,15.093479286511,-1.9563078936747,154.76351904084,53.0,-221574211.71263,7,1,5,1,-1.1976047904192
600031.SH,三一重工,-8.9364380113279,0.80622070577709,11752851077.0,787845969.0,0.67,0.46968687541639,51135033.78,0.49894529,4722911000.0,6604778000.0,14.848645833333,-0.37742097809044,99.976534771988,77817734000.0,31.519364314249,1.7557128503961,1.4149044291092,3.803758913537,21669027000.0,-0.23687230523973,0.55651377919965,-3.0810448760884,24.406627240043,14.848645833333,1.8111350743278,28.740187867093,-0.44563930039231,93.674245771135,43.0,-152345478.2435,1,0,2,0,-5.6668970283345
600036.SH,招商银行,-6.7030633909615,0.3557577185579,22575321610.0,708712604.0,0.38,0.2703721149317,48330059.45,0.03339651,144980000000.0,,31.521145833333,-0.44644107462774,100.05850895772,340229000000.0,27.898055215367,1.6562031110916,1.3558501769073,,,-0.58101069418994,5.7486474062415,-4.0548970679975,25.200533743562,31.521145833333,0.8698946170975,5.6209782532444,0.37262518191574,103.66865632157,47.0,-336868548.06701,2,0,1,0,-6.4044213263979
600039.SH,四川路桥,-11.072664359862,1.5494259266273,3658654924.0,451698261.0,0.15,0.12343966712899,25119366.82,0.71023102,11585964351.48,4557192651.18,7.9167708333333,-0.18993495779133,99.77953124067,138080812957.25,34.858911673228,1.0293723433333,0.77674818506377,7.8380584256106,23907045843.68,0.34459698141322,1.3293397330778,-46.606648199446,23.779889182208,7.9167708333333,1.5116323458678,5.9928361137438,0.059409335083898,79.632688874687,45.0,105817917.32288,1,0,6,1,0.12970168612192
600048.SH,保利发展,-13.500784929356,0.86807769159544,12244170888.0,1051234955.0,0.23,0.22050886661527,68578857.22,0.21976203,18520889879.91,960995492.26,11.472708333333,-0.58515038603161,96.949672495181,317225701581.46,33.122717382697,0.82331828092111,0.78678381206071,2.4752362256478,60786948005.64,1.0565164501085,1.5472183638628,-13.973458235753,24.270363134582,11.472708333333,0.67547500205944,7.1900356673387,-0.21780682366161,78.071387953052,39.0,-374919098.36617,0,0,1,0,-6.8965517241379
600050.SH,中国联通,-9.1649694501018,0.90697199738809,14342864325.0,3016777310.0,0.06,0.40488656195462,259834175.46,0.58102985,8045254603.0,7170949066.0,4.6430208333333,-0.16185287189319,100.15869009413,372658564142.0,33.220581875929,1.3605157318869,1.2987306085641,3.318139188728,88795799545.0,0.07390767913477,0.25296366959454,-11.155378486056,26.092693183242,4.6430208333333,0.88074596365447,19.432291021657,1.2326630705502,81.894892524627,33.0,274142334.80992,1,0,5,1,-1.5695067264574
