StockCode,StockName,MonthlyReturn,MonthlyTurnoverRate,MonthlyTradingAmount,MonthlyTradingVolume,ATR,ADTM,VMA,AssetTurnover,NetProfit,R&D,BBIBOLL,MACD,OperatingProfitRatio,TotalRevenue,AnnualVolatility,Beta24M,Beta100W,ROA,GrossProfit,CashFlowPerShare,EPS,ROC,MASS,BBI,PB,PE,PEG,VR,PSY,WVAD,rank10,rank2,rank10_next,rank2_next,MonthlyReturn_next
600000.SH,浦发银行,-2.862783810464,0.4133099175386,11720675902.0,1141590088.0,0.34,0.42857142857143,48855184.34,0.0187061,43939000000.0,,10.0065625,0.20860221340031,97.826227738802,170458000000.0,19.150671408513,0.88641056750749,0.75953121800184,,,8.3072882450074,1.4969587806501,18.840579710145,25.753849116922,10.0065625,0.45128549990606,7.869473806683,-0.27831145494628,122.41510096059,48.0,48666254.773322,5,1,2,0,-3.8617886178862
600009.SH,上海机场,-9.005726184279,1.596253076107,10751531009.0,296139743.0,0.76,0.40871854885898,9549869.28,0.17869111,1638872421.59,7845966.76,35.103229166667,0.45371505157282,99.713209104538,12317075439.84,26.866029682368,1.0400455552141,1.0639826736426,4.0537932905544,2742939110.4,1.0727696616765,0.65858336779411,1.1281457911484,26.892773606726,35.103229166667,2.1255620666546,93.139911499998,0.70997555493097,126.52635547589,46.0,-1551103.7875776,2,0,4,0,-0.14302059496569
600010.SH,包钢股份,-1.1560693641619,2.2909931395477,14031376912.0,8271933036.0,0.06,0.57142857142857,198381909.36,0.43578157,-476077322.36,450159338.71,1.66875,0.051725392577996,,66848230226.1,21.767315008167,1.1463830677283,1.019941630727,0.92305498887103,5320152930.26,0.020849231815986,-0.010485143219865,14.765100671141,29.117418912085,1.66875,1.5114030056828,150.68287787071,0.88330848552146,154.13054478377,40.0,1540415170.5222,6,1,9,1,12.280701754386
600011.SH,华能国际,-5.8365758754864,2.18332487539,12654138763.0,1719731176.0,0.29,-0.0056258790436019,64870114.95,0.45550562,6294857453.0,1809879696.0,7.2340625,0.049506398907248,105.896308231,247470695617.0,34.364569809082,0.50721885784333,0.55682212190676,4.3373667175999,35768308368.0,0.54702242097935,0.40099503226556,-19.333333333333,26.713372545003,7.2340625,1.9611328800124,13.494445811505,0.062961597528292,80.912138724206,40.0,-496866403.65832,4,0,2,0,-3.9944903581267
600015.SH,华夏银行,-4.8452220726783,1.1312394660363,7651775878.0,1038036952.0,0.18,0.3841059602649,43412001.98,0.0220656,26919000000.0,,7.1519791666667,0.093630264950304,99.986160318866,93233000000.0,21.134742979573,0.90268569107161,0.70485611577078,,,4.2247755078003,1.6914307880256,3.8179148311307,25.495043358516,7.1519791666667,0.38565974399416,4.2680478044517,0.80459771675036,124.7737847314,49.0,142430495.54798,4,0,8,1,7.0721357850071
600016.SH,民生银行,-5.9701492537313,0.78012590474035,19690086271.0,4979685772.0,0.08,0.42372881355932,177171727.14,0.01789385,32732000000.0,,3.8533333333333,0.054853590216928,100.16872890889,136173000000.0,19.523345422086,0.66357808053524,0.64495134298545,,,-0.58589728200666,0.74760602817098,-2.0725388601036,26.485927053092,3.8533333333333,0.30206399825067,4.6198682951612,2.9411215686289,103.49213091722,43.0,-477024803.14226,4,0,7,1,4.7619047619048
600018.SH,上港集团,-8.4615384615385,1.4968451359839,4735256083.0,751436657.0,0.23,0.50316455696203,32510270.91,0.19369074,13654667023.26,172033179.96,6.1459375,0.0086008578689807,96.120528597591,39144181218.48,19.612776899292,0.33508270567971,0.53737079263838,8.3698351561334,13988802171.94,0.33094445157458,0.58650628387104,3.4782608695652,24.655679605147,6.1459375,1.0584823453616,10.491757963287,-0.44943827584458,122.71554235456,49.0,29738192.422936,2,0,3,0,-2.5210084033614
600019.SH,宝钢股份,-6.0518731988473,1.7016312693626,16674880989.0,2469446790.0,0.18,0.38278931750742,80880586.48,0.89159628,9475755096.68,3618160356.99,6.616875,0.11435714552769,107.60797271332,332339579085.96,27.643256862721,1.1810905553173,1.0770969286472,3.4957192633966,18434069656.39,-0.58819999189598,0.43100529174674,-6.1870503597122,27.501614055452,6.616875,0.72019638974421,12.001267866116,-6.023828419363,124.12874492239,48.0,-341482608.58888,4,0,6,1,1.5337423312884
600023.SH,浙能电力,-12.778603268945,1.6661269750569,6728008096.0,1078320435.0,0.16,0.047552447552447,47314264.69,0.61848455,7257496904.01,544731870.42,6.00625,-0.09092732260607,103.59110147171,92764677315.89,31.032552210974,0.14567050206414,0.44336340048142,7.1543175597639,10126505640.73,-0.0075220994845708,0.54125151420825,-12.908011869436,25.31513641574,6.00625,1.092521572948,12.07239711613,0.026442812017862,91.397602345989,45.0,-276122804.41812,0,0,0,0,-8.1771720613288
600025.SH,华能水电,-15.757575757576,2.8179914444444,9665423648.0,913029228.0,0.23,0.40245051837889,34439339.72,0.12550076,8159915278.24,174852141.01,10.144375,-0.2539611076261,100.00998275106,24740687866.15,23.078235076972,0.15271555344759,0.38548324913835,6.8589036350898,13855791492.92,0.029582490017778,0.45332862656889,-5.0731707317073,25.271550869583,10.144375,3.0200094735671,22.9298621219,1.8636268885356,90.251586002347,49.0,-176184677.39128,0,0,2,0,-4.4193216855087
600026.SH,中远海能,-17.413249211356,3.2294032750272,10551343583.0,766391034.0,0.22,0.19154774972558,23682346.5,0.30773593,3051798759.7,10449448.01,13.366041666667,-0.22580571449779,100.24144909951,22699624762.7,44.638375143923,0.71146594855054,0.95899081827477,7.2799807328716,6432494601.65,-0.33703586839768,0.63968597708717,-25.455580865604,24.903413172186,13.366041666667,1.7358114318707,18.638377820543,0.14346868127181,80.070245894344,43.0,-237556124.736,0,0,2,0,-4.3544690603514
600027.SH,华电国际,-3.6727879799666,3.0839152907631,10548501762.0,1838097807.0,0.4,0.25373134328358,84335764.56,0.50207372,5180101000.0,,5.6001041666667,0.019830473816789,98.27820067765,111261795000.0,37.499126765462,0.20683580240394,0.4869463655294,5.5808104469692,8962446000.0,-0.13304628369411,0.50648448174864,-14.391691394659,25.253568096616,5.6001041666667,1.4381569653973,13.049844428761,0.0029453313859646,94.153239049128,43.0,-365629615.32835,5,1,0,0,-8.6655112651646
600028.SH,中国石化,-11.206896551724,1.5255617771995,26195058763.0,3926892179.0,0.07,0.38062283737024,158429686.94,1.48673575,51744000000.0,14330000000.0,6.3939583333333,-0.097906518103705,101.77295217152,3108815000000.0,22.130804662321,0.40650924167829,0.48511723857582,4.0859864428144,478144000000.0,-0.10615463183709,0.42517727918402,-3.4375,23.394341174721,6.3939583333333,0.91820441806992,12.439093522629,-1.4124623715317,101.1151393553,49.0,-721037071.47001,1,0,7,1,2.9126213592233
600029.SH,南方航空,-5.8103975535168,2.4865804150404,10999889407.0,1822762209.0,0.17,0.43806104129264,49212068.92,0.56288083,-3564000000.0,514000000.0,5.9784375,0.086929596762769,,175099000000.0,28.210859467454,0.9595253329489,0.96369334192398,1.2289841494911,13135000000.0,-0.25809962247699,-0.1966788656207,5.6603773584906,27.387381597544,5.9784375,2.8860771229785,-26.520503657838,-0.30440877341533,98.616266519692,45.0,189817979.12662,4,0,8,1,9.7402597402597
600030.SH,中信证券,3.3823529411765,4.1279708904263,188541063066.0,6646856898.0,1.6,0.75880503144654,140037146.64,0.03841766,20105464220.89,,27.225520833333,1.4644093354564,100.11082189536,60402888802.75,30.928810899096,1.6073908663604,1.358797207599,,,4.6208459843631,1.3565939538445,52.577319587629,30.129977101909,27.225520833333,1.5982676688451,21.132972026939,-2.8211383210457,136.75525769461,46.0,-44988930.69881,8,1,8,1,9.352773826458
600031.SH,三一重工,-3.3368644067797,1.7467824889895,33105414103.0,1807381293.0,1.05,0.51766513056836,55931943.57,0.49679974,5327257000.0,5487007000.0,17.771145833333,0.26700032246246,100.17705191564,76218414000.0,27.318794425394,1.2238902292197,1.0083002464148,4.68229034513,20807356000.0,0.016634851368878,0.62858652573993,14.707730986801,25.846997723718,17.771145833333,2.1811447294205,34.161991717114,5.7310451099691,141.4576477471,49.0,85529485.172596,5,1,2,0,-4.2191780821918
600036.SH,招商银行,-0.66471683063015,0.83756761365342,68956411976.0,1766685664.0,1.08,0.45658508158508,68115272.36,0.02970536,145896000000.0,,38.224583333333,1.0829071463991,100.05868711789,331553000000.0,24.494090270292,1.1393509533188,1.0135883362319,,,14.74334957805,5.7849680092496,9.3997071742313,27.158885653457,38.224583333333,0.94025675734133,6.4270162184238,1.0326022844437,122.8121921504,48.0,86314078.515752,7,1,3,0,-2.7301927194861
600039.SH,四川路桥,8.8193456614509,7.4108058774938,18410286340.0,2336225236.0,0.42,0.30141843971631,40690892.71,0.4043854,6022815215.9,3143323153.34,7.5220833333333,0.33172779307474,100.75424394251,97365764504.04,35.631680851712,0.99586101533949,0.98577729776786,4.1398880524135,16937905042.49,-0.37592832488923,0.69125913960235,-5.9040590405904,29.8573875251,7.5220833333333,1.4773614789711,7.4027321275545,-0.37575320420535,113.7268818837,43.0,267769997.49035,8,1,3,0,-2.6143790849673
600048.SH,保利发展,-2.0852221214868,3.7516066994132,51326866266.0,4791515206.0,0.63,0.51627906976744,147059606.62,0.23974157,6587063843.64,18760018.66,10.6234375,0.50882776014245,99.586288118532,337112956195.05,38.160604286919,1.7399292212287,1.5144981646378,1.649328799291,47328886222.72,-1.2686045494869,0.55027734676353,5.46875,28.923651181033,10.6234375,0.66078360022827,10.713442410066,-0.31300660935292,143.95342082458,46.0,570423095.69285,6,1,1,0,-5.1851851851852
600050.SH,中国联通,-6.7289719626168,1.4884640134941,27489160924.0,5242172374.0,0.07,0.58726899383984,180635124.9,0.56981142,8933175469.0,9221901394.0,5.0725,0.057894011710134,95.311370012395,381027142779.0,33.936881894835,1.1964009476426,1.0692344527925,3.66900191111,95921602500.0,-0.31568807735007,0.28091233243051,8.7145969498911,27.990916366906,5.0725,0.97144604567326,19.416509051225,1.6231365109384,122.37590416965,46.0,616723534.53379,3,0,7,1,3.2064128256513
